Angle,Voltage,Voltage_std
0,-0.6759559559559559,0.10632670139476515
4,-0.7124324324324325,0.03895004872249422
9,-0.7493893893893895,0.05249650855950771
14,-0.7583183183183183,0.033584262347894855
18,-0.7914314314314316,0.02841584968933042
23,-0.7678478478478478,0.03129620304762339
28,-0.8714714714714716,0.03036212765490374
33,-0.9125525525525526,0.026101192755394246
37,-0.9545945945945947,0.029968465421681845
42,-1.0188988988988987,0.046927507708896705
47,-0.971051051051051,0.07355138477689593
52,-1.216976976976977,0.092307047734894
56,-1.2807207207207207,0.04283591947277614
61,-1.6915315315315316,0.07290865812224186
66,-2.2916916916916916,0.10289620337850533
71,-4.363243243243242,0.11604722681194338
75,-4.547427427427428,0.13744591615743545
80,-3.954074074074074,0.11373061668561475
85,-2.7641241241241237,0.07003365849311688
90,-1.7561561561561563,0.03540753215027298
